BOURBLE | 2 ounces bourbon + 1/2 ounce lemon juice + 1/2 ounce Cointreau or triple sec | In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass. | Cocktail Glass
KIR | 6 ounces dry white wine + 1 lemon twist + 1/2 ounce crème de cassis | Pour the wine and cassis into a wine glass. Stir well. Garnish with the lemon twist. | Wine Glass
KIR ROYALE | 6 ounces Champagne or sparkling wine + 1/2 ounce crème de cassis + 1 lemon twist | Pour the Champagne and cassis into a Champagne flute. Stir well. Garnish with the lemon twist. | Champagne Flute
LICENCED VICTUALER’S CHAMPAGNE COCKTAIL | 1 teaspoon granulated sugar + 1/2 ounce brandy + 6 ounces Champagne + 3 dashes bitters | Put the sugar in the bottom of a Champagne flute and soak it with the bitters. Pour the brandy over the sugar. Top with the Champagne. | Champagne Flute
MADEIRA M’DEAR | 1 1/2 ounces Madeira + 1 teaspoon sweet vermouth + 1 ounce brandy + 1/2 ounce dry vermouth + 1 lemon twist | Pour the Madeira, brandy, dry vermouth, and sweet vermouth into an old-fashioned glass almost filled with ice cubes. Stir well. Garnish with the lemon twist. | Old-Fashioned Glass
MIMOSA | 5 ounces Champagne or sparkling wine + 1 ounce orange juice + 1 orange slice + 1/2 ounce Cointreau or triple sec | Pour the Champagne, Cointreau, and orange juice into a Champagne flute. Stir well. Garnish with the orange slice. | Champagne Flute
NELSON’S BLOOD | 5 ounces Champagne or sparkling wine + 1 ounce tawny port | Pour the Champagne and port into a Champagne flute. Stir well. | Champagne Flute
PORT AND BRANDY | 1 1/2 ounces port + 1 ounce brandy | Pour the port and the brandy into a snifter. Stir well. | Snifter
PORTUGUESE DAISY | 2 ounces ruby port + 1/2 teaspoon grenadine + 1 ounce brandy + 1 lemon wedge + 1 ounce lemon juice + 1/2 teaspoon superfine sugar | In a shaker half-filled with ice cubes, combine the port, brandy, lemon juice, sugar, and grenadine. Shake well. Pour into an old-fashioned glass. Garnish with the lemon wedge. | Old-Fashioned Glass
PORT WINE FLIP | 2 1/2 ounces ruby port + 1/2 ounce light cream + 1 whole egg + 1/8 teaspoon grated nutmeg + 1 teaspoon superfine sugar | In a shaker half-filled with ice cubes, combine the port, egg, sugar, and cream. Shake well. Strain into a sour glass and garnish with the nutmeg. | Sour Glass
PORT WINE SANGAREE | 1 teaspoon superfine sugar + 1/2 ounce brandy + 2 teaspoons water + 2 ounces tawny port + Crushed ice + 2 1/2 ounces club soda + 1 lemon twist + 1/8 teaspoon grated nutmeg + 1/8 teaspoon ground cinnamon | In a highball glass, dissolve the sugar in the water and port. Almost fill the glass with crushed ice and add the club soda. Float the brandy on top. Garnish with the lemon twist and a dusting of nutmeg and cinnamon. | Highball Glass
QUEEN’S COUSIN | 1 ounce vodka + 1/2 ounce Grand Marnier + 1/2 ounce lime juice + 2 dashes bitters + 1 teaspoon Cointreau or triple sec + 3 ounces sparkling white wine or Champagne | In a shaker half-filled with ice cubes, combine all of the ingredients except for the wine. Shake well. Strain into a large wine glass. Add the wine and stir well. | Wine Glass
RED WINE COOLER | 4 ounces red wine + 2 ounces ginger ale + 2 ounces lemon-lime soda + 1 lemon twist + 1 orange slice | Pour the wine, lemon-lime soda, and ginger ale into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist and the orange slice. | Highball Glass
RUBY PORT COBBLER | 1 teaspoon superfine sugar + 2 1/2 ounces ruby port + 3 ounces club soda + Crushed ice + 1 maraschino cherry + 1 orange slice + 1 lemon slice | In an old-fashioned glass, dissolve the sugar in the club soda. Add crushed ice until the glass is almost full. Stir well. Garnish with the cherry, orange slice, and lemon slice. | Old-Fashioned Glass
SPRITZER | 5 ounces white wine + 1 lemon twist + 2 ounces club soda | Pour the wine and soda into a collins glass almost filled with ice cubes. Stir well. Garnish with the lemon twist. | Collins Glass
WHITE WINE COOLER | 4 ounces dry white wine + 1 lemon twist + 2 ounces lemon-lime soda + 1 orange slice | Pour the wine and the soda into a highball glass almost filled with ice cubes. Stir well. Garnish with the lemon twist and the orange slice. | Highball Glass
ALE FLIP | 1 ounce lemon juice + 1 tablespoon granulated sugar + 12 ounces ale + 1/4 teaspoon ground ginger + 1 egg yolk + 1 ounce brandy | In a saucepan over moderate heat, heat the lemon juice with 2 ounces of the ale, the ginger, and the sugar until the sugar is dissolved. In a bowl, beat the egg yolk into the brandy. Beat the lemon juice mixture into the egg yolk mixture and pour it into a beer mug. Add the rest of the ale and stir well. | Beer Mug
BLACK AND TAN | 6 ounces ale + 6 ounces stout | Carefully pour the ale into a Pilsner or beer mug, trying not to raise too much head. Pour the stout into the ale. | Beer Mug
BLACK VELVET | 12 ounces stout + 4 ounces chilled Champagne or sparkling wine | Pour the stout, then the Champagne into a large beer mug. | Beer Mug
BLACK VELVETEEN | 12 ounces stout + 4 ounces hard cider | Pour the stout, then the cider into a large beer mug. | Beer Mug
DEPTH CHARGE | 1 1/2 ounces peppermint schnapps + 12 ounces ale or lager | Pour the schnapps, then the ale into a Pilsner or beer mug. | Beer Mug
DOG’S NOSE | 1 ounce gin + 12 ounces ale | Pour the gin, then the ale into a Pilsner or beer mug. | Beer Mug
GINGER BEER SHANDY | 4 ounces ginger beer + 12 ounces chilled ale or lager | Pour the ginger beer into a Pilsner or beer mug. Carefully add the ale. | Beer Mug
LAGER AND BLACK | 1 1/2 ounces Ribena blackcurrant syrup + 12 ounces chilled lager | Pour the Ribena, then the lager into a Pilsner or beer mug. | Beer Mug
LAGER AND LIME | 1 1/2 ounces Rose’s lime juice + 12 ounces chilled lager | Pour the Rose’s lime juice, then the lager into a Pilsner or beer mug. | Beer Mug
LEMON TOP | 12 ounces chilled ale or lager + 2 ounces lemon-lime soda | Pour the ale into a Pilsner or beer mug. Top with the soda. | Beer Mug
RED EYE | 3 ounces tomato juice + 12 ounces ale or lager | Pour the tomato juice, then the ale into a Pilsner or beer mug. | Beer Mug
SHANDY | 4 ounces lemon-lime soda + 12 ounces chilled ale or lager | Pour the soda into a Pilsner or beer mug. Carefully add the ale. | Beer Mug
SNAKE BITE | 6 ounces ale or lager + 6 ounces hard cider | Pour the ale, then the cider into a Pilsner or beer mug. | Beer Mug
STOUT AND BLACK | 1 1/2 ounces Ribena blackcurrant syrup + 12 ounces stout | Pour the Ribena, then the stout into a Pilsner or beer mug. | Beer Mug
STOUT SANGAREE | 2 teaspoons superfine sugar + 1/8 teaspoon grated nutmeg + 2 teaspoons water + 12 ounces stout + 1 ounce ruby port + 1/8 teaspoon ground cinnamon | In a beer mug, dissolve the sugar in the water. Carefully pour the stout to give a 1⁄2-inch head. Float the port. Garnish with the nutmeg and the cinnamon. | Beer Mug
BEDROOM FARCE | 1 ounce dark rum + 1/2 ounce bourbon + 2 teaspoons Galliano + 2 ounces heavy cream, whipped + 1/4 teaspoon grated bittersweet chocolate + 4 ounces hot chocolate | Pour the rum, bourbon, Galliano, and hot chocolate into an Irish coffee glass. Spoon the cream carefully so that it floats on top of the drink. Garnish with the grated chocolate. | Irish Coffee Glass
BLACK STRIPE | 2 ounces dark rum + 2 ounces boiling water + 1 tablespoon molasses + 1 lemon twist + 1 teaspoon honey | Pour the run, molasses, honey, and hot water into an Irish coffee glass. Stir well. Garnish with the lemon twist. | Irish Coffee Glass
BLUE BLAZER | 2 1/2 ounces Scotch + 2 ounces boiling water + 1 teaspoon granulated sugar + 1 lemon twist | Heat the Scotch and pour it into a silver tankard. Pour the boiling water into another silver tankard. Carefully ignite the Scotch and, very carefully, pour it into the second tankard while it is still blazing. Pour the flaming drink very carefully back and forth between the tankards 4 or 5 times. Add the sugar and stir. Garnish with the lemon twist. | Tankard
CALYPSO COFFEE | 4 ounces hot coffee + 1/2 ounce dark rum + 1 1/2 ounces Tia Maria + 2 ounces heavy cream | Pour the coffee into an Irish coffee glass. Add the Tia Maria and rum and stir. Pour the cream carefully over the back of a teaspoon so that it floats on top of the drink. | Irish Coffee Glass
CANDLE IN THE WINDOW | 2 ounces light rum + 1 teaspoon cherry brandy + 2 teaspoons bourbon + 4 ounces hot coffee + 1 teaspoon dark crème de cacao + 2 ounces heavy cream | Pour the rum, bourbon, crème de cacao, cherry brandy, and coffee into an Irish coffee glass. Pour the cream carefully over the back of a teaspoon so that it floats on top of the drink. | Irish Coffee Glass
CARIBBEAN COFFEE | 4 ounces hot coffee + 2 ounces dark rum + 1 teaspoon granulated sugar + 2 ounces heavy cream | Pour the coffee into an Irish coffee glass. Add the sugar and stir to dissolve it. Add the rum and stir. Pour the cream carefully over the back of a teaspoon so that it floats on top of the drink. | Irish Coffee Glass
CHOCOLATE CORVETTE | 1 1/2 ounces dark rum + 4 ounces hot chocolate + 1/2 ounce dark crème de cacao + 2 ounces heavy cream | Pour the rum, crème de cacao, and hot chocolate into an Irish coffee glass. Pour the cream carefully over the back of a teaspoon so that it floats on top of the drink. | Irish Coffee Glass
CHOCOLATE VICE | 1 1/2 ounces dark rum + 1/2 ounce bourbon + 1/2 ounce dark crème de cacao + 4 ounces hot chocolate + 2 ounces heavy cream, whipped | Pour the rum, bourbon, crème de cacao, and hot chocolate into an Irish coffee glass. Spoon the cream carefully on top of the drink. | Irish Coffee Glass
COFFEE ROYALE | 4 ounces hot coffee + 2 ounces brandy + 1 teaspoon granulated sugar + 2 ounces heavy cream | Pour the coffee into an Irish coffee glass. Add the and stir to dissolve. Add the brandy and stir. | Irish Coffee Glass
COMFORTING COFFEE | 4 ounces hot coffee + 1 teaspoon dark crème de cacao + 1 ounce Southern Comfort + 2 ounces heavy cream + 1 ounce bourbon | Pour the coffee into an Irish coffee glass. Add the Southern Comfort, bourbon, and creme de cacao and stir. Pour the cream carefully over the back of a teaspoon so that it floats on top of the drink. | Irish Coffee Glass
DeROSIER’s 19th HOLE | 1 ounce añejo rum + 2 teaspoons Drambuié + 1/2 ounce bourbon + 4 ounces hot coffee + 2 teaspoons dark crème + 2 ounces heavy cream de cacao | Pour the rum, bourbon, crème de cacao, Drambuie, and coffee into an Irish coffee glass. Pour the cream carefully over the back of a teaspoon so that it floats on top of the drink. | Irish Coffee Glass
FIVE BEFORE FLYING | 1/2 ounce bourbon + 2 teaspoons brandy + 1/2 ounce Southern Comfort + 2 teaspoons white crème de cacao + 1/2 ounce crème de bananes + 4 ounces coffee + 2 ounces heavy cream | Pour the bourbon, Southern Comfort, crème de bananas, brandy, crème de cacao, and coffee into an Irish coffee glass. Pour the cream carefully over the black of a teaspoon, so that it floats on top of the drink. | Irish Coffee Glass
GOOD GOLLY | 1 1/2 ounces dark rum + 4 ounces hot coffee + 1/2 ounce Galliano + 2 ounces heavy cream + 2 teaspoons dark crème de cacao | Pour the rum, Galliano, crème de cacao, and coffee into an Irish coffee glass. Stir well. Pour the cream carefully over the back of a teaspoon so that it floats on top of the drink. | Irish Coffee Glass
GRACIOUS ENJEE | 1 1/2 ounces bourbon + 2 teaspoons dark crème de cacao + 1/2 ounce Southern Comfort + 4 ounces hot malted milk | Pour all of the ingredients into a coffee mug. Stir well. | Coffee Mug
HOT BUTTERED RUM | 1 teaspoon brown + 1 teaspoon unsalted + 4 ounces boiling water + 1 whole clove + 2 ounces dark rum butter + 1/8 teaspoon grated nutmeg | In an Irish coffee glass, combine the brown sugar with the boiling water. Stir until the sugar is dissolved. Add the clove and the rum. Float the butter on the top and dust with the nutmeg. | Irish Coffee Glass
HOT DARING DYLAN | 1 1/2 ounces tequila + 2 ounces heavy cream + 1 ounce Kahlúa + 4 ounces Mexican hot chocolate | Pour the tequila, Kahlúa, and hot chocolate into an Irish coffee glass. Stir well. Pour the cream carefully over the back of a teaspoon so that it floats on top of the drink. | Irish Coffee Glass
HOT MOLLIFIER | 1 1/2 ounces dark rum + 4 ounces hot coffee + 1/2 ounce Tia Maria + 2 ounces heavy cream | Pour the rum, Tia Maria, and coffee into an Irish coffee glass. Stir well. Pour the cram carefully over the back of a teaspoon so that it floats on top of the drink. | Irish Coffee Glass
HOT PENNY RUM | 1 1/2 ounces añejo rum + 4 ounces hot coffee + 1/2 ounce bourbon + 2 ounces heavy cream + 2 teaspoons dark crème de cacao | Pour the rum, bourbon, crème de cacao, and coffee into an Irish coffee glass. Pour the cream carefully over the back of a teaspoon so that it floats on top of the drink. | Irish Coffee Glass
HOT PIPER | 2 ounces tequila + 1/2 ounce dark crème de cacao + 2 teaspoons lemon juice + 4 ounces hot coffee | Pour all of the ingredients into an Irish coffee glass. Stir well. | Irish Coffee Glass
HOT ZULTRY ZOE | 1 1/2 ounces tequila + 2 ounces heavy cream + 1/2 ounce Galliano + 4 ounces Mexican hot chocolate | Pour the tequila, Galliano, and hot chocolate into an Irish coffee glass. Stir well. Pour the cream carefully over the back of a teaspoon so that it floats on top of the drink. | Irish Coffee Glass
IRISH COFFEE | 4 ounces hot coffee + 2 ounces Irish whiskey + 1 teaspoon granulated sugar + 2 ounces heavy cream | Pour the coffee into an Irish coffee glass. Add the sugar and stir to dissolve it. Add the whiskey and stir. Pour the cream carefully over the back of a teaspoon so that it floats on top of the drink. | Irish Coffee Glass
ITALIAN COFFEE | 4 ounces hot coffee + 1/2 ounce brandy + 1 1/2 ounces amaretto + 2 ounces heavy cream | Pour the coffee into an Irish coffee glass. Add the amaretto and brandy and stir. Pour the cream carefully over the back of a teaspoon so that it floats on top of the drink. | Irish Coffee Glass
JACK ROBERTS’S TREAT | 4 ounces hot chocolate + 2 ounces heavy cream + 2 ounces brandy + 1/2 ounce dark crème de cacao | Pour the hot chocolate into an Irish coffee glass. Add the brandy and crème de cacao and stir. Pour the cream carefully over the back of a teaspoon so that it floats on top of the drink. | Irish Coffee Glass
MEXICAN COFFEE | 4 ounces hot coffee + 2 ounces heavy cream + 2 ounces Kahlúa | Pour the coffee into an Irish coffee glass. Add the Kahlúa and stir. Pour the cream carefully over the back of a teaspoon so that it floats on top of the drink. | Irish Coffee Glass
MONASTERY COFFEE | 4 ounces hot coffee + 2 ounces Bénédictine + 1/2 teaspoon granulated sugar + 2 ounces heavy cream | Pour the coffee into an Irish coffee glass. Add the sugar and stir to dissolve. Add the Bénédictine and stir. Pour the cream carefully over the back of a teaspoon so that it floats on top of the drink. | Irish Coffee Glass
MONK’S ROPE COFFEE | 4 ounces hot coffee + 2 ounces heavy cream + 1 1/2 ounces Frangelico + 1/2 ounce dark créme de cacao | Pour the coffee into an Irish coffee glass. Add the Frangelico and crème de cacao and stir. Pour the cream carefully over the back of a teaspoon so that it floats on top of the drink. | Irish Coffee Glass
MORLEY’S DRIVER | 1 1/2 ounces dark rum + 4 ounces hot coffee + 1/2 ounce cherry brandy + 2 ounces heavy cream + 2 teaspoons dark crème de cacao | Pour, the rum, cherry brandy, crème de cacao, and coffee into an Irish coffee glass. Stir well. Pour the cream carefully over the back of a teaspoon so that it floats on top of the drink. | Irish Coffee Glass
